[0.000000] (-) TimerEvent: {}
[0.000448] (micro_ros_setup) JobQueued: {'identifier': 'micro_ros_setup', 'dependencies': OrderedDict()}
[0.060319] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /root/microros_ws/install/micro_ros_setup/./config/client_ros2_packages.txt\n'}
[0.060372] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /root/microros_ws/install/micro_ros_setup/lib/micro_ros_setup/create_ws.sh\n'}
[0.060425] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /root/microros_ws/install/micro_ros_setup/lib/micro_ros_setup/create_agent_ws.sh\n'}
[0.060481] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /root/microros_ws/install/micro_ros_setup/lib/micro_ros_setup/create_firmware_ws.sh\n'}
[0.060535] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /root/microros_ws/install/micro_ros_setup/lib/micro_ros_setup/configure_firmware.sh\n'}
[0.060589] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /root/microros_ws/install/micro_ros_setup/lib/micro_ros_setup/flash_firmware.sh\n'}
[0.060642] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /root/microros_ws/install/micro_ros_setup/lib/micro_ros_setup/build_firmware.sh\n'}
[0.060694] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /root/microros_ws/install/micro_ros_setup/lib/micro_ros_setup/build_agent.sh\n'}
[0.060747] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /root/microros_ws/install/micro_ros_setup/lib/micro_ros_setup/yaml_filter.py\n'}
[0.060800] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /root/microros_ws/install/micro_ros_setup/lib/micro_ros_setup/clean_env.sh\n'}
[0.061010] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /root/microros_ws/install/micro_ros_setup/lib/micro_ros_setup/component\n'}
[0.061107] (micro_ros_setup) CommandEnded: {'returncode': 0}
[0.073050] (micro_ros_setup) JobEnded: {'identifier': 'micro_ros_setup', 'rc': 0}
[0.073624] (-) EventReactorShutdown: {}
